Level 1,Level 2,Level 3,Result Folder,Result File,IoU,Chamfer Distance
buis_recht,recht_bocht_180,sdf.obj,voxelData_schijf_links_4,1.obj,-1,0.09996032961585535
buis_recht,recht_bocht_180,sdf.obj,voxelData_schijf_links_4,0.obj,-1,0.10392317861967967
buis_recht,recht_bocht_180,sdf.obj,voxelData_schijf_links_4,2.obj,-1,0.10510425294145345
buis_recht,recht_bocht_180,sdf.obj,voxelData_8e_onder_3,1.obj,-1,0.0815083995230974
buis_recht,recht_bocht_180,sdf.obj,voxelData_8e_onder_3,0.obj,-1,0.08248259375556595
buis_recht,recht_bocht_180,sdf.obj,voxelData_8e_onder_3,2.obj,-1,0.08273094392293862
buis_recht,recht_bocht_180,gt.obj,voxelData_schijf_links_4,1.obj,-1,0.08329287397525645
buis_recht,recht_bocht_180,gt.obj,voxelData_schijf_links_4,0.obj,-1,0.08499840961945512
buis_recht,recht_bocht_180,gt.obj,voxelData_schijf_links_4,2.obj,-1,0.08564989832617283
buis_recht,recht_bocht_180,gt.obj,voxelData_8e_onder_3,1.obj,-1,0.06820752656644062
buis_recht,recht_bocht_180,gt.obj,voxelData_8e_onder_3,0.obj,-1,0.06836009655682748
buis_recht,recht_bocht_180,gt.obj,voxelData_8e_onder_3,2.obj,-1,0.06970954457257741
buis_recht,recht_T_90,sdf.obj,voxelData_schijf_links_4,1.obj,-1,0.06951059479108353
buis_recht,recht_T_90,sdf.obj,voxelData_schijf_links_4,0.obj,-1,0.06603755495880467
buis_recht,recht_T_90,sdf.obj,voxelData_schijf_links_4,2.obj,-1,0.06828593125761856
buis_recht,recht_T_90,gt.obj,voxelData_schijf_links_4,1.obj,-1,0.08025351789871278
buis_recht,recht_T_90,gt.obj,voxelData_schijf_links_4,0.obj,-1,0.07594057217924191
buis_recht,recht_T_90,gt.obj,voxelData_schijf_links_4,2.obj,-1,0.07713205040072266
buis_recht,recht_bocht_30,sdf.obj,voxelData_schijf_links_4,1.obj,-1,0.09756878564367077
buis_recht,recht_bocht_30,sdf.obj,voxelData_schijf_links_4,0.obj,-1,0.10047449791565678
buis_recht,recht_bocht_30,sdf.obj,voxelData_schijf_links_4,2.obj,-1,0.10080810990001532
buis_recht,recht_bocht_30,gt.obj,voxelData_schijf_links_4,1.obj,-1,0.09371095781614208
buis_recht,recht_bocht_30,gt.obj,voxelData_schijf_links_4,0.obj,-1,0.09502749022970852
buis_recht,recht_bocht_30,gt.obj,voxelData_schijf_links_4,2.obj,-1,0.09394791724557516
buis_recht,recht_bocht_60+60,sdf.obj,voxelData_schijf_links_4,1.obj,-1,0.13709405696677718
buis_recht,recht_bocht_60+60,sdf.obj,voxelData_schijf_links_4,0.obj,-1,0.14243280459400165
buis_recht,recht_bocht_60+60,sdf.obj,voxelData_schijf_links_4,2.obj,-1,0.14528083269517705
buis_recht,recht_bocht_60+60,gt.obj,voxelData_schijf_links_4,1.obj,-1,0.13095517944531554
buis_recht,recht_bocht_60+60,gt.obj,voxelData_schijf_links_4,0.obj,-1,0.13737310776381365
buis_recht,recht_bocht_60+60,gt.obj,voxelData_schijf_links_4,2.obj,-1,0.14306392510360022
buis_recht,recht_verzamel,sdf.obj,voxelData_schijf_links_4,1.obj,-1,0.051770639993131015
buis_recht,recht_verzamel,sdf.obj,voxelData_schijf_links_4,0.obj,-1,0.04940326000129429
buis_recht,recht_verzamel,sdf.obj,voxelData_schijf_links_4,2.obj,-1,0.053060238806659624
buis_recht,recht_verzamel,gt.obj,voxelData_schijf_links_4,1.obj,-1,0.042320908795900294
buis_recht,recht_verzamel,gt.obj,voxelData_schijf_links_4,0.obj,-1,0.04352638258130234
buis_recht,recht_verzamel,gt.obj,voxelData_schijf_links_4,2.obj,-1,0.041841461285049425
buis_recht,recht_versmal_lang,sdf.obj,voxelData_schijf_links_4,1.obj,-1,0.08857349626922251
buis_recht,recht_versmal_lang,sdf.obj,voxelData_schijf_links_4,0.obj,-1,0.08965341244334038
buis_recht,recht_versmal_lang,sdf.obj,voxelData_schijf_links_4,2.obj,-1,0.08935103932721215
buis_recht,recht_versmal_lang,gt.obj,voxelData_schijf_links_4,1.obj,-1,0.08127398866100537
buis_recht,recht_versmal_lang,gt.obj,voxelData_schijf_links_4,0.obj,-1,0.08017644473366779
buis_recht,recht_versmal_lang,gt.obj,voxelData_schijf_links_4,2.obj,-1,0.08002086738640773
buis_recht,recht_T_45,sdf.obj,voxelData_schijf_links_4,1.obj,-1,0.10000865309772713
buis_recht,recht_T_45,sdf.obj,voxelData_schijf_links_4,0.obj,-1,0.09141352314442058
buis_recht,recht_T_45,sdf.obj,voxelData_schijf_links_4,2.obj,-1,0.10550238795097372
buis_recht,recht_T_45,gt.obj,voxelData_schijf_links_4,1.obj,-1,0.09565998695646595
buis_recht,recht_T_45,gt.obj,voxelData_schijf_links_4,0.obj,-1,0.08758450613777241
buis_recht,recht_T_45,gt.obj,voxelData_schijf_links_4,2.obj,-1,0.10202747654284852
buis_recht,recht_Y_60,sdf.obj,voxelData_schijf_links_4,1.obj,-1,0.07636467537661093
buis_recht,recht_Y_60,sdf.obj,voxelData_schijf_links_4,0.obj,-1,0.06623387122578685
buis_recht,recht_Y_60,sdf.obj,voxelData_schijf_links_4,2.obj,-1,0.07826791265565401
buis_recht,recht_Y_60,gt.obj,voxelData_schijf_links_4,1.obj,-1,0.07999617837401202
buis_recht,recht_Y_60,gt.obj,voxelData_schijf_links_4,0.obj,-1,0.06606327482319577
buis_recht,recht_Y_60,gt.obj,voxelData_schijf_links_4,2.obj,-1,0.07676871261657892
buis_recht,recht_versmal,sdf.obj,voxelData_schijf_links_4,1.obj,-1,0.08906751730852859
buis_recht,recht_versmal,sdf.obj,voxelData_schijf_links_4,0.obj,-1,0.08514647195018354
buis_recht,recht_versmal,sdf.obj,voxelData_schijf_links_4,2.obj,-1,0.0899179437842295
buis_recht,recht_versmal,gt.obj,voxelData_schijf_links_4,1.obj,-1,0.06996558160501315
buis_recht,recht_versmal,gt.obj,voxelData_schijf_links_4,0.obj,-1,0.07930743526668879
